Number,Base ms,Miller ms
1,0.018584,0.040500
2,0.000125,0.000166
3,0.000042,0.000084
4,0.000083,0.000125
5,0.000125,0.000167
6,0.000083,0.000084
7,0.000083,0.000083
8,0.000083,0.000125
9,0.000084,0.000083
10,0.000083,0.000166
11,0.000125,0.000125
12,0.000083,0.000166
13,0.000084,0.000083
14,0.000083,0.000084
15,0.000125,0.000125
16,0.000084,0.000125
17,0.000084,0.000125
18,0.000083,0.000125
19,0.000041,0.000084
20,0.000083,0.000083
21,0.000084,0.000083
22,0.000083,0.000125
23,0.000083,0.000125
24,0.000084,0.000083
25,0.000041,0.000084
26,0.000083,0.000084
27,0.000083,0.000084
28,0.000084,0.000083
29,0.000083,0.000042
30,0.000084,0.000083
31,0.000042,0.000083
32,0.000083,0.000084
33,0.000084,0.000083
34,0.000083,0.000125
35,0.000084,0.000125
36,0.000083,0.000083
37,0.000125,0.000083
38,0.000041,0.000125
39,0.000041,0.000084
40,0.000083,0.000083
41,0.000042,0.000083
42,0.000166,0.000208
43,0.000083,0.000166
44,0.000041,0.000084
45,0.000084,0.000083
46,0.000083,0.000042
47,0.000042,0.000083
48,0.000083,0.000083
49,0.000083,0.000042
50,0.000042,0.000083
51,0.000083,0.000084
52,0.000083,0.000083
53,0.000083,0.000084
54,0.000083,0.000042
55,0.000083,0.000083
56,0.000041,0.000084
57,0.000084,0.000083
58,0.000083,0.000084
59,0.000083,0.000042
60,0.000083,0.000083
61,0.000083,0.000084
62,0.000083,0.000083
63,0.000083,0.000083
64,0.000041,0.000084
65,0.000083,0.000250
66,0.000084,0.000125
67,0.000084,0.074041
68,0.000084,0.000125
69,0.000083,0.000166
70,0.000042,0.000167
71,0.000166,0.048625
72,0.000083,0.000125
73,0.000125,0.039625
74,0.000042,0.000125
75,0.000042,0.000125
76,0.000083,0.000083
77,0.000125,0.000167
78,0.000041,0.000125
79,0.000125,0.050167
80,0.000083,0.000125
81,0.000083,0.000125
82,0.000042,0.000125
83,0.000083,0.042042
84,0.000042,0.000125
85,0.000084,0.000125
86,0.000084,0.000125
87,0.000083,0.000125
88,0.000083,0.000125
89,0.000083,0.046958
90,0.000083,0.000125
91,0.000083,0.000125
92,0.000041,0.000125
93,0.000083,0.000125
94,0.000083,0.000125
95,0.000125,0.000125
96,0.000083,0.000125
97,0.000125,0.040875
98,0.000083,0.000125
99,0.000084,0.000125
100,0.000083,0.000125
101,0.000083,0.046209
102,0.000042,0.000083
103,0.000083,0.035500
104,0.000041,0.000084
105,0.000083,0.000084
106,0.000084,0.000083
107,0.000083,0.043375
108,0.000083,0.000084
109,0.000083,0.037084
110,0.000083,0.000083
111,0.000083,0.000166
112,0.000041,0.000083
113,0.000083,0.034750
114,0.000084,0.000083
115,0.000125,0.000084
116,0.000041,0.000084
117,0.000084,0.000125
118,0.000042,0.000084
119,0.000125,0.000083
120,0.000041,0.000084
121,0.000084,0.000125
122,0.000041,0.000083
123,0.000083,0.000125
124,0.000042,0.000083
125,0.000084,0.000125
126,0.000042,0.000084
127,0.000083,0.041833
128,0.000041,0.000125
129,0.000084,0.000125
130,0.000041,0.000084
131,0.000083,0.037584
132,0.000042,0.000083
133,0.000125,0.000125
134,0.000041,0.000083
135,0.000084,0.000083
136,0.000042,0.000083
